"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Dengue","All cases","Age standardised rate","N/100000","2008","AT","Austria",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","BE","Belgium",0.576173820,""
"Dengue","All cases","Age standardised rate","N/100000","2008","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","DE","Germany",0.339770970,""
"Dengue","All cases","Age standardised rate","N/100000","2008","EE","Estonia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","EL","Greece",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","ES","Spain",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","EU27_21","EU (without UK)",0.135974000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.118953000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.135974000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.118953000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","FI","Finland",0.685008460,""
"Dengue","All cases","Age standardised rate","N/100000","2008","FR","France",0.089461620,""
"Dengue","All cases","Age standardised rate","N/100000","2008","HU","Hungary",0.059827840,""
"Dengue","All cases","Age standardised rate","N/100000","2008","IE","Ireland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","IT","Italy",0.020874400,""
"Dengue","All cases","Age standardised rate","N/100000","2008","LT","Lithuania",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","LU","Luxembourg",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","LV","Latvia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","MT","Malta",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","PL","Poland",0.005349710,""
"Dengue","All cases","Age standardised rate","N/100000","2008","RO","Romania",0.004773740,""
"Dengue","All cases","Age standardised rate","N/100000","2008","SE","Sweden",0.808587530,""
"Dengue","All cases","Age standardised rate","N/100000","2008","SI","Slovenia",0.288421910,""
"Dengue","All cases","Age standardised rate","N/100000","2008","SK","Slovakia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2008","UK","United Kingdom",0.010026580,""
"Dengue","All cases","Age standardised rate","N/100000","2009","AT","Austria",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","BE","Belgium",0.510511030,""
"Dengue","All cases","Age standardised rate","N/100000","2009","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","DE","Germany",0.375075010,""
"Dengue","All cases","Age standardised rate","N/100000","2009","EE","Estonia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","EL","Greece",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","ES","Spain",0.007605020,""
"Dengue","All cases","Age standardised rate","N/100000","2009","EU27_21","EU (without UK)",0.149667000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","EU27_UK_21","EU (with UK until 2019)",0.130048000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","EUEEA30_21","EU/EEA (without UK)",0.149546000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",0.129958000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","FI","Finland",0.684404420,""
"Dengue","All cases","Age standardised rate","N/100000","2009","FR","France",0.103633550,""
"Dengue","All cases","Age standardised rate","N/100000","2009","HU","Hungary",0.009442750,""
"Dengue","All cases","Age standardised rate","N/100000","2009","IE","Ireland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","IS","Iceland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","IT","Italy",0.017144090,""
"Dengue","All cases","Age standardised rate","N/100000","2009","LT","Lithuania",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","LU","Luxembourg",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","LV","Latvia",0.049308900,""
"Dengue","All cases","Age standardised rate","N/100000","2009","MT","Malta",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","PL","Poland",0.010139070,""
"Dengue","All cases","Age standardised rate","N/100000","2009","RO","Romania",0.000000000,""
